id,author,book_title,page,example,type,verified,verification_method,notes
boyce_diprima_p272,Boyce & DiPrima,Elementary differential equations and boundary value problems,272,IVP for 2nd order with zero IC,ivp,True,segment ODE + jump-matching (verified this session),
campbell_haberman_p263,Campbell & Haberman,Introduction to differential equations with dynamical systems,263,IVP for 1st order system,ivp,True,segment ODE + jump-matching (verified this session),
edwards_penney_p318,Edwards & Penney,Elementary differential equations with boundary value problems,318,IVP with shifted impulse,ivp,True,segment ODE + jump-matching (verified this session),
esfandiari_lu_p57,Esfandiari & Lu,Modeling and analysis of dynamic systems,57,Example 2.27: Initial Condition != Initial Value,ivp,True,jump formula y^(n-1)(0+)=y^(n-1)(0-)+b/a_n (verified this session),
esfandiari_lu_p343,Esfandiari & Lu,Modeling and analysis of dynamic systems,343,Impulse Response of First-Order Systems (general/symbolic),ivp_symbolic,True,"symbolic Laplace match, general parameters (verified this session)",
franklin_p110,"Franklin, Powell & Emami-Naeini",Feedback control of dynamic systems,110,"Impulse response jump, general k",ivp_symbolic,True,"jump formula, symbolic parameter k (verified this session)",
franklin_p151,"Franklin, Powell & Emami-Naeini",Feedback control of dynamic systems,151,H(s) to h(t),transfer_function,True,symbolic Laplace match (verified this session),
gangadharaiah_3_8,Gangadharaiah & Sandeep,Engineering applications of the Laplace transform,239,Example 3.8,transfer_function,True,symbolic Laplace match (verified this session),
gangadharaiah_3_11,Gangadharaiah & Sandeep,Engineering applications of the Laplace transform,248,Example 3.11,transfer_function,True,symbolic Laplace match (verified this session),
gangadharaiah_3_12,Gangadharaiah & Sandeep,Engineering applications of the Laplace transform,254,Example 3.12,transfer_function,True,symbolic Laplace match (verified this session),
gangadharaiah_3_14,Gangadharaiah & Sandeep,Engineering applications of the Laplace transform,257,Example 3.14,transfer_function,True,symbolic Laplace match (verified this session),
gangadharaiah_3_27,Gangadharaiah & Sandeep,Engineering applications of the Laplace transform,288,Example 3.27,transfer_function,True,symbolic Laplace match (verified this session),
gangadharaiah_3_28,Gangadharaiah & Sandeep,Engineering applications of the Laplace transform,289,Example 3.28,transfer_function,True,symbolic Laplace match (verified this session),
gangadharaiah_4_7,Gangadharaiah & Sandeep,Engineering applications of the Laplace transform,306,Example 4.7,ivp,True,segment ODE + jump-matching (verified this session),
